title,created_at,content,score
Genting projects RM40b revenue over 25 years from Zheijang province gas power plant ,2024-06-20 19:32:37+00:00,"<div itemprop=""articleBody"" class=""dable-content-wrapper""><p>KUALA LUMPUR: Genting Bhd aims to generate US$8.5 billion in revenue over the next 25 years from developing and operating a gas power plant in the Zhejiang province.</p><p>Genting president, chief operating officer, and executive director Datuk Seri Tan Kong Han, said that the power plant is projected to bring in US$343 million annually starting 2026, as the project is expected to complete next year.</p><p>Today, Genting announced its plan to purchase a 49 per cent equity stake in SDIC Jineng (Zhoushan) Gas Power Generation Co Ltd, a",0.0196078431372549
&#039;Add&#039; stance kept on Genting Bhd,2024-05-28 08:21:02+00:00,"<div itemprop=""articleBody"" class=""dable-content-wrapper""><p>KUALA LUMPUR: Genting Bhd is poised to play catch-up as an FBM KLCI laggard on the back of improving tourist arrivals to Malaysia and Singapore, according to CGS International Securities Malaysia (CGS Malaysia).</p><p>""In our view, Genting remains a credible proxy for the recovery in tourist arrivals into Malaysia and Singapore, as 37 per cent and 41 per cent of its financial year 2024 (FY24) earnings before interest, tax, depreciation, and amortisation (EBITDA) are from Genting Malaysia (GENM) and Genting Singapore (GENS), respectiv",0.019230769230769232
Genting Malaysia's subsidiary makes early redemption of RM1.3b from MTNs,2024-07-10 20:19:05+00:00,"<div class=newsTextDataWrapInner><p>KUALA LUMPUR (July 10): Genting Malaysia Bhd's (KL:GENM) said its subsidiary GENM Capital Bhd has made an early redemption of RM1.3 billion in nominal value from its RM2.4 billion medium term notes (MTN).</p></div>

<div class=newsTextDataWrapInner><p>The early redemption of RM1.3 billion comprises the second tranche of the MTN which was issued in August 2015 for a tenure of 10 years, with a coupon rate of 4.9% per year.</p></div>

<div class=newsTextDataWrapInner><p>When it was issued, GENM said the proceeds from the issuance of the MTNs would be utilis",0.018867924528301886
"Genting Malaysia's 2Q net profit up 75%, pays six sen dividend",2024-08-29 19:21:11+00:00,"<div class=newsTextDataWrapInner><p>KUALA LUMPUR (Aug 29): Genting Malaysia Bhd (KL:GENM) saw its net profit rose 74.5% to RM82.24 million for the second quarter ended June 30, 2024 (2QFY2024) from RM47.12 million a year earlier, driven by its leisure and hospitality business.</p></div>

<div class=newsTextDataWrapInner><p>This led to a higher earnings per share of 1.45 sen for 2QFY2024 compared with 0.83 sen for 2QFY2023.</p></div>

<div class=newsTextDataWrapInner><p>Quarterly revenue rose 7.9% to RM2.67 billion from RM2.47 billion a year earlier, on higher revenue from the leisure and h",0.018518518518518517
Genting’s energy ventures yet to excite investors,2024-07-02 15:21:46+00:00,"<div class=newsTextDataWrapInner><p><span style=""font-style: italics;"">This article first appeared in The Edge Malaysia Weekly on June 24, 2024 - June 30, 2024</span></p></div><div class=newsTextDataWrapInner><p>TO some, Genting Bhd’s (KL:GENTING) announcement of its RM5 billion energy ventures last week seemed to have come out of the blue. But to others, the announcement comes at a time when the gaming business is becoming more competitive than it was 50 years ago, when Genting first established its hilltop casino and resort in Pahang.</p></div>

<div class=newsTextDataWrapInner><p>The cong",0.01818181818181818
Genting Malaysia issues RM400 mil medium-term notes,2024-06-10 20:02:20+00:00,"<div class=newsTextDataWrapInner><p>KUALA LUMPUR (June 10): Genting Malaysia Bhd’s (KL:GENM) wholly owned subsidiary GENM Capital has issued medium-term notes (MTNs) with a nominal value of RM400 million.</p></div>

<div class=newsTextDataWrapInner><p>The leisure and hospitality group said this comprises tranche one of the fifth issuance under the RM5 billion MTN programme worth RM300 million and tranche one of the third issuance under the RM3 billion MTN programme worth RM100 million.</p></div>

<div class=newsTextDataWrapInner><p>The RM300 million notes have a tenure of five years and a ",0.017857142857142856
Genting commits more than RM4.7b investments into energy business,2024-06-20 19:20:30+00:00,"<div itemprop=""articleBody"" class=""dable-content-wrapper""><p>KUALA LUMPUR: Genting Bhd today announced more than RM4.7 billion worth of investments into the group&#039;s power and oil and gas segment by comissioning a floating liquefied natural gas (FLNG) facility for use in Indonesia and taking a substantial stake in a gas-powered plant in China.</p><p>The first deal involves the commissioning of a 1.2 million tonnes per annum (MTPA) FLNG facility, valued at US$962.8 million (RM4.5 billion).</p><p>Genting entered into an engineering, procurement, construction, installation, and commissioning ",0.017543859649122806
Genting Malaysia strong contender for New York City new casino license,2024-04-12 08:30:24+00:00,"<div itemprop=""articleBody"" class=""dable-content-wrapper""><p><a href=""mailto:bt@nst.com.my"">bt@nst.com.my</a></p><p>KUALA LUMPUR: ANALYSTS said Genting Malaysia Bhd is a strong contender for one of the three new casino licences being considered for the New York City (NYC) area, which could be awarded late next year.</p><p>They anticipate that the group&#039;s Resorts World New York City (RWNYC) could obtain one of these licences by leveraging its expertise in the gaming industry.</p><p>This achievement could lead to the transformation of its  video lottery terminal facility into a comprehensiv",0.017241379310344827
Genting Bhd makes big turnaround to post RM929.20mil net profit in FY23,2024-02-29 21:11:23+00:00,"<div class=""inline-img""><div class=""story-image""></div></div><div id=""story-body"" class=""story bot-15 relative""><p>KUALA LUMPUR: Genting Bhd registered a net profit of RM929.20 million in the financial year ended Dec 31, 2023 (FY2023) compared to a net loss of RM299.90 million a year ago.</p><p>Its revenue jumped to RM27.12 billion from RM22.38 billion, boosted by the leisure and hospitality businesses in the United States, Bahamas, United Kingdom and Egypt.</p><p>It said in a statement today that its revenue from the power segment improved mainly due to higher generation from the Banten Plant",0.01694915254237288
"Genting poised for a comeback, says HLIB",2024-03-01 14:10:10+00:00,"<div itemprop=""articleBody"" class=""dable-content-wrapper""><p>KUALA LUMPUR: Genting Bhd is poised for sustained recovery momentum, bolstered by various factors contributing to the optimistic outlook, says Hong Leong Investment Bank (HLIB) research.</p><p>   HLIB said the group stands to benefit from the ongoing rebound in foreign visitations at Resorts World Genting (RWG) and Resorts World Sentosa (RWS), driven by the increasing frequency of global flights, particularly outbound flights from China, and the visa-free travel arrangements between China, Malaysia, and Singapore. </p><p>  Additional",0.016666666666666666
Genting Malaysia raises RM1.3b from medium-term notes issuances,2024-05-31 19:47:00+00:00,"<div class=newsTextDataWrapInner><p>KUALA LUMPUR (May 31): Genting Malaysia Bhd (KL:GENM), which operates the Genting Highlands resorts, said on Friday it has issued debt papers totalling RM1.3 billion under two programmes.</p></div>

<div class=newsTextDataWrapInner><p>The company raised RM1.05 billion from three tranches of medium-term notes that pay annual coupons of 4.92%-5.15% and mature between five and 10 years, Genting Malaysia said in an exchange filing. The issuances are the fourth under a RM5 billion programme.</p></div>

<div class=newsTextDataWrapInner><p>Genting Malaysia also",0.01639344262295082
