title,url,created_at,updated_at,published_date,summary,content,category,author,thumbnail_url,image_url,publisher_id,publisher_name,publisher_url
Wall St Week Ahead: Earnings bolster US stocks,https://www.klsescreener.com/v2/news/view/1323409,2024-05-11 07:22:24,2024-05-11 07:22:24,2024-05-11 07:15:00,A strong earnings season and blockbuster reports from tech industry titans fueled a US stock market rebound from the first real swoon of 2024. Next week’s inflation data could determine whether the good vibes continue.,"<div class=""inline-img""><div class=""story-image""><p class=""caption"">Some investors worry the rally could stall without evidence that inflation is cooling again.</p></div></div><div id=""story-body"" class=""story bot-15 relative""><div class=""premium-sign-overlay absolute""></div><p>NEW YORK: A strong earnings season and blockbuster reports from tech industry titans fueled a US stock market rebound from the first real swoon of 2024. Next week’s inflation data could determine whether the good vibes continue.</p><p>The benchmark S&amp;P 500 index is up over 9% for the year, up near its late-March rec",,,//images.weserv.nl/?url=https://apicms.thestar.com.my/uploads/images/2024/05/11/2689144.JPG&w=300,https://apicms.thestar.com.my/uploads/images/2024/05/11/2689144.JPG,28,TheStar,http://www.thestar.com.my/news/latest/?tag=Business
Wall St posts another weekly gain ahead of inflation data,https://www.klsescreener.com/v2/news/view/1323407,2024-05-11 07:11:37,2024-05-11 07:11:37,2024-05-11 07:03:00,US stocks eked out modest gains on Friday and all three indices posted another weekly advance as investors parsed comments from Federal Reserve officials and looked ahead to crucial inflation data next week.,"<div class=""inline-img""><div class=""story-image""><p class=""caption"">The Dow rose 125.08 points, or 0.32%, to 39,512.84, the S&amp;P 500 gained 8.6 points, or 0.16%, to 5,222.68 and the Nasdaq dropped 5.40 points, or 0.03%, to 16,340.87.</p></div></div><div id=""story-body"" class=""story bot-15 relative""><div class=""premium-sign-overlay absolute""></div><p>NEW YORK: US stocks eked out modest gains on Friday and all three indices posted another weekly advance as investors parsed comments from Federal Reserve officials and looked ahead to crucial inflation data next week.</p><p>The S&amp;P 500 and t",,,https://apicms.thestar.com.my/uploads/images/2024/05/11/2689139.jpg,https://apicms.thestar.com.my/uploads/images/2024/05/11/2689139.jpg,28,TheStar,http://www.thestar.com.my/news/latest/?tag=Business
Oil falls on prospect of higher-for-longer US rates,https://www.klsescreener.com/v2/news/view/1323393,2024-05-11 07:11:30,2024-05-11 07:11:30,2024-05-11 06:57:00,"Oil prices fell by nearly US$1 a barrel on Friday as comments from US central bank officials indicated higher-for-longer interest rates, which could hinder demand from the world's largest crude consumers.","<div class=""inline-img""><div class=""story-image""><p class=""caption"">Brent crude futures settled at US$82.79 a barrel, down US$1.09, or 1.3%. US West Texas Intermediate crude settled at US$78.26 a barrel, down US$1.00, or 1.3%.</p></div></div><div id=""story-body"" class=""story bot-15 relative""><div class=""premium-sign-overlay absolute""></div><p>NEW YORK: Oil prices fell by nearly US$1 a barrel on Friday as comments from US central bank officials indicated higher-for-longer interest rates, which could hinder demand from the world's largest crude consumers.</p><p>Brent crude futures settled at US$",,,https://apicms.thestar.com.my/uploads/images/2024/05/11/2689135.jpeg,https://apicms.thestar.com.my/uploads/images/2024/05/11/2689135.jpeg,28,TheStar,http://www.thestar.com.my/news/latest/?tag=Business
Perak Corp gets extension,https://www.klsescreener.com/v2/news/view/1323405,2024-05-11 07:11:37,2024-05-11 07:11:37,2024-05-11 00:00:00,Perak Corp Bhd has been given a six-month extension by Bursa Malaysia to submit its regularisation plan.,"<div class=""inline-img""><div class=""story-image""></div></div><div id=""story-body"" class=""story bot-15 relative""><p>PETALING JAYA: <a href=""/business/marketwatch/stocks/?qcounter=PRKCORP"" target=""_blank"">Perak Corp Bhd</a><a href=""http://charts.thestar.com.my/?s=PRKCORP"" target=""_blank""><img class=""go-chart"" src=""https://cdn.thestar.com.my/Themes/img/chart.png""></a> has been given a six-month extension by Bursa Malaysia to submit its regularisation plan.</p><p>In a filing with Bursa Malaysia, the PN17 affected company noted it now has till Aug 10, 2024, to submit its regularisation plan failing",,,https://apicms.thestar.com.my/uploads/images/2024/05/11/2689113.JPG,https://apicms.thestar.com.my/uploads/images/2024/05/11/2689113.JPG,28,TheStar,http://www.thestar.com.my/news/latest/?tag=Business
Leap in operating income for UOB’s retail banking,https://www.klsescreener.com/v2/news/view/1323403,2024-05-11 07:11:35,2024-05-11 07:11:35,2024-05-11 00:00:00,United Overseas Bank (M) Bhd (UOB Malaysia) has posted a record high RM4.6bil total operating income and pre-tax profit of RM1.9bil for its financial year ended 2023.,"<div class=""inline-img""><div class=""story-image""><p class=""caption"">The bank said its operating income jumped by 19.3% on-year, crossing the RM4bil mark for the first time.</p></div></div><div id=""story-body"" class=""story bot-15 relative""><div class=""premium-sign-overlay absolute""></div><p>PETALING JAYA: United Overseas Bank (M) Bhd (UOB Malaysia) has posted a record high RM4.6bil total operating income and pre-tax profit of RM1.9bil for its financial year ended 2023.</p><p>According to a statement, the bank said its operating income jumped by 19.3% on-year, crossing the RM4bil mark for the fi",,,https://apicms.thestar.com.my/uploads/images/2024/05/11/2689116.JPG,https://apicms.thestar.com.my/uploads/images/2024/05/11/2689116.JPG,28,TheStar,http://www.thestar.com.my/news/latest/?tag=Business
MI Technovation posts three-fold surge in net profit,https://www.klsescreener.com/v2/news/view/1323401,2024-05-11 07:11:34,2024-05-11 07:11:34,2024-05-11 00:00:00,MI Technovation Bhd (MI Tech) will continue to diversify and expand its scale in 2024 .,"<div class=""inline-img""><div class=""story-image""></div></div><div id=""story-body"" class=""story bot-15 relative""><div class=""premium-sign-overlay absolute""></div><p>PETALING JAYA: <a href=""/business/marketwatch/stocks/?qcounter=MI"" target=""_blank"">MI Technovation Bhd</a><a href=""http://charts.thestar.com.my/?s=MI"" target=""_blank""><img class=""go-chart"" src=""https://cdn.thestar.com.my/Themes/img/chart.png""></a> (MI Tech) will continue to diversify and expand its scale in 2024 .</p><p>“We remain focused on developing and delivering differentiated products to our customers through continual innovat",,,https://apicms.thestar.com.my/uploads/images/2024/05/11/2689115.JPG,https://apicms.thestar.com.my/uploads/images/2024/05/11/2689115.JPG,28,TheStar,http://www.thestar.com.my/news/latest/?tag=Business
Awanbiru share suspension waiver,https://www.klsescreener.com/v2/news/view/1323399,2024-05-11 07:11:33,2024-05-11 07:11:33,2024-05-11 00:00:00,Awanbiru Technology Bhd said Bursa Malaysia has granted it a waiver from complying with Paragraph 8.04(3)(a) of the Main Market Listing Requirements which requires an affected listed issuer pursuant to Paragraph 8.03A of the Main Market Listing Requirements to submit a regularisation plan to Bursa Malaysia.,"<div class=""inline-img""><div class=""story-image""></div></div><div id=""story-body"" class=""story bot-15 relative""><div class=""premium-sign-overlay absolute""></div><p>PETALING JAYA: <a href=""/business/marketwatch/stocks/?qcounter=AWANTEC"" target=""_blank"">Awanbiru Technology Bhd</a><a href=""http://charts.thestar.com.my/?s=AWANTEC"" target=""_blank""><img class=""go-chart"" src=""https://cdn.thestar.com.my/Themes/img/chart.png""></a> said Bursa Malaysia has granted it a waiver from complying with Paragraph 8.04(3)(a) of the Main Market Listing Requirements which requires an affected listed issuer pursuant",,,https://apicms.thestar.com.my/uploads/images/2024/05/11/2689112.JPG,https://apicms.thestar.com.my/uploads/images/2024/05/11/2689112.JPG,28,TheStar,http://www.thestar.com.my/news/latest/?tag=Business
InNature diversifies into the F&B industry,https://www.klsescreener.com/v2/news/view/1323397,2024-05-11 07:11:32,2024-05-11 07:11:32,2024-05-11 00:00:00,"InNature Bhd is looking to acquire 100% equity interest in Blu Restaurant Sdn Bhd from Aquablu Technologies Sdn Bhd, Adventuria Sdn Bhd and Aquawalk Sdn Bhd for RM21.25mil cash.","<div class=""inline-img""><div class=""story-image""><p class=""caption"">InNature said the move is part of diversification of its existing business to include food and beverage services, and related activities. </p></div></div><div id=""story-body"" class=""story bot-15 relative""><div class=""premium-sign-overlay absolute""></div><p>PETALING JAYA: <a href=""/business/marketwatch/stocks/?qcounter=INNATURE"" target=""_blank"">Innature Bhd</a><a href=""http://charts.thestar.com.my/?s=INNATURE"" target=""_blank""><img class=""go-chart"" src=""https://cdn.thestar.com.my/Themes/img/chart.png""></a> is looking to acquire ",,,https://apicms.thestar.com.my/uploads/images/2024/05/11/2689111.jpeg,https://apicms.thestar.com.my/uploads/images/2024/05/11/2689111.jpeg,28,TheStar,http://www.thestar.com.my/news/latest/?tag=Business
MAA raises stake in KNM Group to 13.5%,https://www.klsescreener.com/v2/news/view/1323395,2024-05-11 07:11:31,2024-05-11 07:11:31,2024-05-11 00:00:00,MAA Group Bhd has acquired 4.98% or 201.5 million shares in KNM Group Bhd for RM33.2mil at an average price of 16.5 sen a share.,"<div class=""inline-img""><div class=""story-image""></div></div><div id=""story-body"" class=""story bot-15 relative""><div class=""premium-sign-overlay absolute""></div><p>PETALING JAYA: <a href=""/business/marketwatch/stocks/?qcounter=MAA"" target=""_blank"">MAA Group Bhd</a><a href=""http://charts.thestar.com.my/?s=MAA"" target=""_blank""><img class=""go-chart"" src=""https://cdn.thestar.com.my/Themes/img/chart.png""></a> has acquired 4.98% or 201.5 million shares in <a href=""/business/marketwatch/stocks/?qcounter=KNM"" target=""_blank"">KNM Group Bhd</a><a href=""http://charts.thestar.com.my/?s=KNM"" target=""_blank",,,https://apicms.thestar.com.my/uploads/images/2024/05/11/2689109.JPG,https://apicms.thestar.com.my/uploads/images/2024/05/11/2689109.JPG,28,TheStar,http://www.thestar.com.my/news/latest/?tag=Business
Phison makes another attempt to enter Malaysia’s tech space,https://www.klsescreener.com/v2/news/view/1323391,2024-05-11 07:00:59,2024-05-11 07:00:59,2024-05-11 00:00:00,"In a move marking its return to Malaysia’s technology scene, Taiwanese electronics company, Phison Electronics Corp, is set to inject RM100mil into a startup named MaiStorage.","<div class=""inline-img""><div class=""story-image""><p class=""caption"">Phison Electronics Corp co-founder, chairman and chief executive officer Pua Khein-Seng.</p></div></div><div id=""story-body"" class=""story bot-15 relative""><div class=""premium-sign-overlay absolute""></div><p>IN a move marking its return to Malaysia’s technology scene, Taiwanese electronics company, Phison Electronics Corp, is set to inject RM100mil into a startup named MaiStorage.</p><p>This initiative represents a fresh chapter for Phison, following its initial setback in 2012 when its first foray into Malaysia fell short.</p>",,,https://apicms.thestar.com.my/uploads/images/2024/05/11/2689133.jpeg,https://apicms.thestar.com.my/uploads/images/2024/05/11/2689133.jpeg,28,TheStar,http://www.thestar.com.my/news/latest/?tag=Business
