news_id,stock_symbol_id,exchange,entity_type,entity_name,stock_symbol,company_name
31167,180,Bursa,COMPANY_NAME,CELCOMDIGI,CDB,CELCOMDIGI BERHAD
31178,1151,Bursa,COMPANY_NAME,VARIA,VARIA,VARIA BERHAD
31184,747,Bursa,COMPANY_NAME,GAGASAN NADI CERGAS,NADIBHD,GAGASAN NADI CERGAS BERHAD
31192,180,Bursa,COMPANY_NAME,CELCOMDIGI,CDB,CELCOMDIGI BERHAD
31195,809,Bursa,COMPANY_NAME,PANTECH GROUP HOLDINGS,PANTECH,PANTECH GROUP HOLDINGS BHD
31193,1082,Bursa,COMPANY_NAME,TENAGA NASIONAL,TENAGA,TENAGA NASIONAL BHD
31210,,,STOCK_SYMBOL,MAG,,
31212,,,STOCK_SYMBOL,MAG,,
31215,377,Bursa,COMPANY_NAME,GAMUDA,GAMUDA,GAMUDA BHD
31215,377,Bursa,COMPANY_NAME,GAMUDA,GAMUDA,GAMUDA BHD
31235,,,STOCK_SYMBOL,MAG,,
31245,,,STOCK_SYMBOL,MAG,,
31218,414,Bursa,COMPANY_NAME,HAILY GROUP,HAILY,HAILY GROUP BERHAD
31218,381,Bursa,COMPANY_NAME,G CAPITAL,GCAP,G CAPITAL BERHAD
31228,,,STOCK_SYMBOL,MAG,,
31136,376,Bursa,COMPANY_NAME,GADANG HOLDINGS,GADANG,GADANG HOLDINGS BHD
31161,1082,Bursa,COMPANY_NAME,TENAGA NASIONAL,TENAGA,TENAGA NASIONAL BHD
31182,420,Bursa,COMPANY_NAME,HARTALEGA HOLDINGS,HARTA,HARTALEGA HOLDINGS BHD
31249,421,Bursa,COMPANY_NAME,STEEL HAWK,HAWK,STEEL HAWK BERHAD
31254,,,STOCK_SYMBOL,CIMB,,
31145,,,STOCK_SYMBOL,MYEG,,
31153,1082,Bursa,COMPANY_NAME,TENAGA NASIONAL,TENAGA,TENAGA NASIONAL BHD
31153,204,Bursa,COMPANY_NAME,CITAGLOBAL,CITAGLB,CITAGLOBAL BERHAD
31171,267,Bursa,COMPANY_NAME,DUOPHARMA BIOTECH,DPHARMA,DUOPHARMA BIOTECH BERHAD
31179,795,Bursa,COMPANY_NAME,OSK HOLDINGS,OSK,OSK HOLDINGS BHD
31194,,,STOCK_SYMBOL,MAG,,
31199,160,Bursa,COMPANY_NAME,BURSA MALAYSIA,BURSA,BURSA MALAYSIA BHD
31214,420,Bursa,COMPANY_NAME,HARTALEGA HOLDINGS,HARTA,HARTALEGA HOLDINGS BHD
31227,377,Bursa,COMPANY_NAME,GAMUDA,GAMUDA,GAMUDA BHD
31241,,,STOCK_SYMBOL,MAG,,
31137,527,Bursa,COMPANY_NAME,JHM CONSOLIDATION,JHM,JHM CONSOLIDATION BHD
31152,743,Bursa,COMPANY_NAME,MY E.G. SERVICES,MYEG,MY E.G. SERVICES BHD
31152,,,STOCK_SYMBOL,MYEG,,
31149,694,Bursa,COMPANY_NAME,MISC,MISC,MISC BHD
31157,1212,Bursa,COMPANY_NAME,YTL POWER INTERNATIONAL,YTLPOWR,YTL POWER INTERNATIONAL BHD
