news_id,stock_id,exchange,entity_type,entity_name,stock_symbol,company_name
32180,421,Bursa,COMPANY_NAME,STEEL HAWK,HAWK,STEEL HAWK BERHAD
32293,,,STOCK_SYMBOL,MAG,,
32294,,,STOCK_SYMBOL,MAG,,
32189,352,Bursa,COMPANY_NAME,FARM FRESH,FFB,FARM FRESH BERHAD
32258,4,Bursa,COMPANY_NAME,99 SPEED MART RETAIL HOLDINGS,99SMART,99 SPEED MART RETAIL HOLDINGS BERHAD
32254,,,STOCK_SYMBOL,MAG,,
32256,490,Bursa,COMPANY_NAME,IHH HEALTHCARE,IHH,IHH HEALTHCARE BERHAD
32260,802,Bursa,COMPANY_NAME,PADINI HOLDINGS,PADINI,PADINI HOLDINGS BHD
32260,1171,Bursa,COMPANY_NAME,WCE HOLDINGS,WCEHB,WCE HOLDINGS BERHAD
32296,180,Bursa,COMPANY_NAME,CELCOMDIGI,CDB,CELCOMDIGI BERHAD
