news_id,stock_id,exchange,entity_type,entity_name,stock_symbol,company_name
35872,,,,,,
35873,,,,,,
35874,,,,,,
35875,,,,,,
35876,,,,,,
35877,,,,,,
35878,,,,,,
35879,,,,,,
35880,,,,,,
35881,,,,,,
35882,,,,,,
35883,,,STOCK_SYMBOL,MAG,,
35884,,,,,,
35885,,,,,,
35886,,,,,,
35887,,,,,,
35888,720,Bursa,COMPANY_NAME,MALAYSIAN RESOURCES,MRCB,MALAYSIAN RESOURCES CORPORATION BERHAD
35888,,,STOCK_SYMBOL,MRCB,,
35889,,,,,,
35890,,,,,,
35891,,,,,,
35892,,,STOCK_SYMBOL,MAYBANK,,
35893,,,,,,
35894,,,,,,
35895,,,,,,
35896,,,,,,
35897,,,,,,
35898,,,,,,
35899,,,,,,
35900,,,,,,
35901,,,,,,
35902,,,,,,
35903,,,,,,
35904,,,,,,
35905,,,,,,
35906,,,,,,
35908,,,,,,
35907,43,Bursa,COMPANY_NAME,ALPHA IVF GROUP,ALPHA,ALPHA IVF GROUP BERHAD
35909,,,,,,
35911,,,,,,
35910,,,,,,
35912,,,,,,
35913,,,,,,
35914,,,,,,
35915,,,,,,
35916,,,,,,
35917,,,,,,
35918,,,,,,
35919,,,STOCK_SYMBOL,MAA,,
35920,,,,,,
35921,,,,,,
35922,,,,,,
35923,142,Bursa,COMPANY_NAME,BINASTRA,BNASTRA,BINASTRA CORPORATION BERHAD
35924,,,,,,
35925,,,,,,
35926,,,,,,
35927,,,,,,
35862,,,,,,
35929,,,,,,
35928,,,,,,
35863,,,,,,
35865,,,,,,
35864,,,,,,
35866,,,,,,
35930,,,,,,
35868,,,,,,
35867,,,,,,
35869,,,,,,
35870,1038,Bursa,COMPANY_NAME,SUNVIEW GROUP,SUNVIEW,SUNVIEW GROUP BERHAD
35871,,,,,,
35931,,,,,,
35932,,,,,,
35933,,,,,,
35934,,,,,,
35935,,,,,,
35936,,,,,,
35937,,,,,,
35938,,,,,,
35939,,,,,,
35941,,,,,,
35940,,,,,,
35942,,,,,,
35943,,,,,,
35944,,,,,,
35945,,,,,,
35946,,,,,,
35947,,,,,,
35948,,,,,,
35949,,,,,,
35950,,,,,,
35951,,,,,,
35952,,,,,,
35953,,,,,,
35954,,,,,,
35955,,,,,,
35956,,,,,,
35957,,,,,,
35958,,,,,,
35959,,,,,,
35960,,,,,,
35961,,,,,,
35962,,,,,,
35963,,,,,,
35964,,,,,,
35965,,,,,,
35966,,,STOCK_SYMBOL,SEG,,
35967,,,,,,
35968,,,,,,
35969,,,,,,
35970,,,STOCK_SYMBOL,GCB,,
35971,,,,,,
35972,,,,,,
35973,,,,,,
35974,,,,,,
35975,,,,,,
35976,,,,,,
35977,,,STOCK_SYMBOL,MSC,,
35978,,,,,,
35979,,,,,,
35980,,,,,,
35981,,,,,,
35982,,,,,,
35983,,,,,,
35984,,,,,,
35985,,,,,,
35986,,,,,,
35987,,,,,,
35988,,,,,,
35989,,,STOCK_SYMBOL,EATECH,,
35990,,,,,,
35991,,,,,,
35992,,,,,,
35993,,,,,,
35994,,,,,,
35995,,,,,,
35996,,,,,,
35997,,,,,,
35998,,,,,,
35999,,,,,,
36000,,,,,,
36001,,,,,,
36002,,,,,,
36003,,,,,,
36004,557,Bursa,COMPANY_NAME,KHPT HOLDINGS,KHB,KHPT HOLDINGS BERHAD
36005,,,,,,
36006,1148,Bursa,COMPANY_NAME,UUE HOLDINGS,UUE,UUE HOLDINGS BERHAD
36007,1176,Bursa,COMPANY_NAME,WELL CHIP GROUP,WELLCHIP,WELL CHIP GROUP BERHAD
36008,,,,,,
36009,,,,,,
36010,,,,,,
36011,,,,,,
36012,744,Bursa,COMPANY_NAME,MYNEWS HOLDINGS,MYNEWS,MYNEWS HOLDINGS BERHAD
36013,,,,,,
36014,,,,,,
36015,,,STOCK_SYMBOL,PGB,,
36016,,,,,,
36017,,,,,,
36018,,,,,,
36019,,,,,,
36020,,,,,,
36021,,,,,,
36022,,,,,,
36023,,,,,,
36024,,,,,,
36025,,,,,,
36026,,,,,,
36027,,,STOCK_SYMBOL,MAYBANK,,
36028,,,,,,
36029,,,,,,
36030,,,,,,
36031,,,,,,
36032,,,,,,
36033,,,,,,
36034,,,,,,
36035,,,,,,
36036,,,,,,
36037,,,,,,
36038,,,,,,
36039,,,,,,
36040,,,,,,
36041,,,,,,
36042,,,,,,
36043,,,,,,
36044,,,,,,
36045,,,,,,
36046,,,,,,
36047,,,,,,
36048,4,Bursa,COMPANY_NAME,99 SPEED MART RETAIL HOLDINGS,99SMART,99 SPEED MART RETAIL HOLDINGS BERHAD
36049,,,,,,
36050,,,,,,
36051,,,,,,
36052,,,,,,
36053,,,,,,
36054,,,,,,
36055,,,,,,
36056,,,,,,
36057,,,,,,
36058,,,,,,
