{'news_id': 2, 'stock_id': None, 'exchange': None, 'entity_type': None, 'entity_name': None, 'stock_symbol': None, 'company_name': None}
{'news_id': 533, 'stock_id': None, 'exchange': None, 'entity_type': None, 'entity_name': None, 'stock_symbol': None, 'company_name': None}
{'news_id': 456, 'stock_id': 103, 'exchange': 'Bursa', 'entity_type': 'COMPANY_NAME', 'entity_name': 'AXIATA GROUP', 'stock_symbol': 'AXIATA', 'company_name': 'AXIATA GROUP BERHAD'}
{'news_id': 247, 'stock_id': None, 'exchange': None, 'entity_type': None, 'entity_name': None, 'stock_symbol': None, 'company_name': None}
{'news_id': 439, 'stock_id': None, 'exchange': None, 'entity_type': None, 'entity_name': None, 'stock_symbol': None, 'company_name': None}
{'news_id': 3, 'stock_id': None, 'exchange': None, 'entity_type': None, 'entity_name': None, 'stock_symbol': None, 'company_name': None}
{'news_id': 351, 'stock_id': None, 'exchange': None, 'entity_type': None, 'entity_name': None, 'stock_symbol': None, 'company_name': None}
{'news_id': 364, 'stock_id': 866, 'exchange': 'Bursa', 'entity_type': 'COMPANY_NAME', 'entity_name': 'POH KONG HOLDINGS', 'stock_symbol': 'POHKONG', 'company_name': 'POH KONG HOLDINGS BHD'}
{'news_id': 176, 'stock_id': None, 'exchange': None, 'entity_type': None, 'entity_name': None, 'stock_symbol': None, 'company_name': None}
{'news_id': 42, 'stock_id': None, 'exchange': None, 'entity_type': None, 'entity_name': None, 'stock_symbol': None, 'company_name': None}
{'news_id': 397, 'stock_id': None, 'exchange': None, 'entity_type': None, 'entity_name': None, 'stock_symbol': None, 'company_name': None}
{'news_id': 446, 'stock_id': None, 'exchange': None, 'entity_type': None, 'entity_name': None, 'stock_symbol': None, 'company_name': None}
{'news_id': 172, 'stock_id': None, 'exchange': None, 'entity_type': None, 'entity_name': None, 'stock_symbol': None, 'company_name': None}
{'news_id': 519, 'stock_id': None, 'exchange': None, 'entity_type': None, 'entity_name': None, 'stock_symbol': None, 'company_name': None}
{'news_id': 449, 'stock_id': None, 'exchange': None, 'entity_type': None, 'entity_name': None, 'stock_symbol': None, 'company_name': None}
{'news_id': 14, 'stock_id': None, 'exchange': None, 'entity_type': None, 'entity_name': None, 'stock_symbol': None, 'company_name': None}
{'news_id': 531, 'stock_id': None, 'exchange': None, 'entity_type': None, 'entity_name': None, 'stock_symbol': None, 'company_name': None}
{'news_id': 93, 'stock_id': None, 'exchange': None, 'entity_type': None, 'entity_name': None, 'stock_symbol': None, 'company_name': None}
{'news_id': 59, 'stock_id': None, 'exchange': None, 'entity_type': 'STOCK_SYMBOL', 'entity_name': 'SCIB', 'stock_symbol': None, 'company_name': None}
{'news_id': 59, 'stock_id': None, 'exchange': None, 'entity_type': 'STOCK_SYMBOL', 'entity_name': 'MYEG', 'stock_symbol': None, 'company_name': None}
{'news_id': 59, 'stock_id': 351, 'exchange': 'Bursa', 'entity_type': 'COMPANY_NAME', 'entity_name': 'FGV HOLDINGS', 'stock_symbol': 'FGV', 'company_name': 'FGV HOLDINGS BERHAD'}
{'news_id': 59, 'stock_id': 839, 'exchange': 'Bursa', 'entity_type': 'COMPANY_NAME', 'entity_name': 'PETRONAS DAGANGAN', 'stock_symbol': 'PETDAG', 'company_name': 'PETRONAS DAGANGAN BHD'}
{'news_id': 59, 'stock_id': 1181, 'exchange': 'Bursa', 'entity_type': 'COMPANY_NAME', 'entity_name': 'WESTPORTS HOLDINGS', 'stock_symbol': 'WPRTS', 'company_name': 'WESTPORTS HOLDINGS BERHAD'}
{'news_id': 59, 'stock_id': 90, 'exchange': 'Bursa', 'entity_type': 'COMPANY_NAME', 'entity_name': 'ATA IMS', 'stock_symbol': 'ATAIMS', 'company_name': 'ATA IMS BERHAD'}
{'news_id': 59, 'stock_id': 87, 'exchange': 'Bursa', 'entity_type': 'COMPANY_NAME', 'entity_name': 'ASTINO', 'stock_symbol': 'ASTINO', 'company_name': 'ASTINO BHD'}
{'news_id': 59, 'stock_id': 736, 'exchange': 'Bursa', 'entity_type': 'COMPANY_NAME', 'entity_name': 'MALAYAN UNITED INDUSTRIES', 'stock_symbol': 'MUIIND', 'company_name': 'MALAYAN UNITED INDUSTRIES BHD'}
{'news_id': 59, 'stock_id': 944, 'exchange': 'Bursa', 'entity_type': 'COMPANY_NAME', 'entity_name': 'SC ESTATE BUILDER', 'stock_symbol': 'SCBUILD', 'company_name': 'SC ESTATE BUILDER BERHAD'}
{'news_id': 59, 'stock_id': None, 'exchange': None, 'entity_type': 'STOCK_SYMBOL', 'entity_name': 'SCBUILD', 'stock_symbol': None, 'company_name': None}
{'news_id': 152, 'stock_id': 201, 'exchange': 'Bursa', 'entity_type': 'COMPANY_NAME', 'entity_name': 'CIMB GROUP HOLDINGS', 'stock_symbol': 'CIMB', 'company_name': 'CIMB GROUP HOLDINGS BERHAD'}
{'news_id': 362, 'stock_id': None, 'exchange': None, 'entity_type': None, 'entity_name': None, 'stock_symbol': None, 'company_name': None}
{'news_id': 328, 'stock_id': None, 'exchange': None, 'entity_type': None, 'entity_name': None, 'stock_symbol': None, 'company_name': None}
{'news_id': 150, 'stock_id': 90, 'exchange': 'Bursa', 'entity_type': 'COMPANY_NAME', 'entity_name': 'ATA IMS', 'stock_symbol': 'ATAIMS', 'company_name': 'ATA IMS BERHAD'}
{'news_id': 421, 'stock_id': 749, 'exchange': 'Bursa', 'entity_type': 'COMPANY_NAME', 'entity_name': 'NCT ALLIANCE', 'stock_symbol': 'NCT', 'company_name': 'NCT ALLIANCE BERHAD'}
{'news_id': 8, 'stock_id': None, 'exchange': None, 'entity_type': None, 'entity_name': None, 'stock_symbol': None, 'company_name': None}
{'news_id': 365, 'stock_id': None, 'exchange': None, 'entity_type': None, 'entity_name': None, 'stock_symbol': None, 'company_name': None}
{'news_id': 256, 'stock_id': None, 'exchange': None, 'entity_type': None, 'entity_name': None, 'stock_symbol': None, 'company_name': None}
{'news_id': 36, 'stock_id': None, 'exchange': None, 'entity_type': None, 'entity_name': None, 'stock_symbol': None, 'company_name': None}
{'news_id': 249, 'stock_id': None, 'exchange': None, 'entity_type': None, 'entity_name': None, 'stock_symbol': None, 'company_name': None}
{'news_id': 288, 'stock_id': 373, 'exchange': 'Bursa', 'entity_type': 'COMPANY_NAME', 'entity_name': 'G3 GLOBAL', 'stock_symbol': 'G3', 'company_name': 'G3 GLOBAL BERHAD'}
{'news_id': 394, 'stock_id': None, 'exchange': None, 'entity_type': None, 'entity_name': None, 'stock_symbol': None, 'company_name': None}
{'news_id': 276, 'stock_id': None, 'exchange': None, 'entity_type': None, 'entity_name': None, 'stock_symbol': None, 'company_name': None}
{'news_id': 323, 'stock_id': None, 'exchange': None, 'entity_type': None, 'entity_name': None, 'stock_symbol': None, 'company_name': None}
{'news_id': 539, 'stock_id': None, 'exchange': None, 'entity_type': None, 'entity_name': None, 'stock_symbol': None, 'company_name': None}
{'news_id': 336, 'stock_id': None, 'exchange': None, 'entity_type': None, 'entity_name': None, 'stock_symbol': None, 'company_name': None}
{'news_id': 458, 'stock_id': None, 'exchange': None, 'entity_type': None, 'entity_name': None, 'stock_symbol': None, 'company_name': None}
{'news_id': 338, 'stock_id': None, 'exchange': None, 'entity_type': None, 'entity_name': None, 'stock_symbol': None, 'company_name': None}
{'news_id': 149, 'stock_id': None, 'exchange': None, 'entity_type': None, 'entity_name': None, 'stock_symbol': None, 'company_name': None}
{'news_id': 220, 'stock_id': 1200, 'exchange': 'Bursa', 'entity_type': 'COMPANY_NAME', 'entity_name': 'YINSON HOLDINGS', 'stock_symbol': 'YINSON', 'company_name': 'YINSON HOLDINGS BHD'}
